day,gurkor_logreturn,guitars_logreturn,slingshots_logreturn,stocks_logreturn,sugar_logreturn,water_logreturn,tranquillity_logreturn
4111,0.0,0.0,0.0,-0.005099175342734573,-0.00904812897739858,0.0,0.0
4112,0.0003734489970702807,0.0,0.00758854753665214,-0.009519580440531097,0.0,0.0,0.0
4113,0.0017562327594219716,0.0054099666167374124,-0.004333300072851571,-0.002500834254794428,0.009545317906230644,0.001595397590943281,-0.013546345180862781
4114,-0.001702909107577639,0.008103423539915075,0.01323197209286502,0.006642564738624748,0.005382762467923504,-0.0017691640406272285,-0.004031940595053641
4115,-0.010414717255270593,0.01767644460644033,0.015103577270333223,-0.0015009092843427112,0.0,-0.000660947314575869,0.018133649639197096
4116,-0.0002731583723632251,0.0004760814967695976,0.0025964275137297624,0.0011168813389166228,0.014526898964122245,-0.0001741008168840516,-0.005585858121614062
4117,0.0006007217934752741,0.002630658298751911,0.005658081570333416,-0.01221915330310762,-0.004292896389635055,-0.004868155725345741,0.01654655298003919
4118,0.000598801557983809,-0.0014417854058306023,-0.003139061225139252,-0.01449265612168381,-0.003188713971056809,-0.00200971764071026,0.012143190551609293
4119,0.0005968813224923439,-0.005514229110413115,-0.01193620402061192,-0.016766158940259998,-0.0020845315524785626,0.0008487204439252211,0.0077398281231793944
4120,0.0005949610870008788,-0.00958667281499563,-0.02073334681608459,-0.019039661758836188,-0.0009803491339003165,0.0037071585285607025,0.0033364656947494956
4121,0.0027478558982925723,-0.007308451509327911,-0.008653037686564538,0.0006362944585007751,0.0,0.001598973005810941,-0.014360477561689065
4122,-0.00048365411632684646,-0.007808587170352474,0.004256008957921731,-0.008949603354607653,-0.023181309869124967,6.938719968502769e-05,-0.0001431661400483384
4123,0.002573286769582653,-0.018883259718619236,-0.01852744143432204,0.001661218494484913,-0.0005179421984243971,0.0023525927655492908,-0.008531446124728247
4124,0.00010689010191923251,-0.005421974067420386,0.007808179521244806,0.004001879540086979,-0.01744813826240743,0.0012059436418367356,-0.002636534463146981
4125,-0.0031643702121033185,-0.000844013548566538,0.0029156858705285888,0.002172794456469988,0.010658068182055558,-0.00037865014889934176,-0.0024309651976874855
4126,0.0,-0.003542836699549204,0.0,-0.0010495264361493513,0.0005260987704577098,-0.003249273458171714,-0.013428604516590581
4127,0.0006992172251292661,-0.010445881652502308,-0.02937440384978738,0.001291147324759432,-0.011723998571931227,0.000866544207643007,-0.008929446057386622
4128,-0.00540779595738989,0.008134997522590994,0.020376595195548873,0.00010555100764573605,-0.008729831258896297,-0.0009359424950876335,-0.019404152586548245
4129,-0.00201807532114173,-0.0054233662192483805,-0.009677193652926333,-0.006206928041574044,0.008189327789125353,-0.003169411223739357,-0.001629624733508287
4130,-0.000711285609670512,-0.0018912400664159595,-0.0043272453114973925,0.008294057317390495,-0.01709824494294496,-0.004250418713357148,0.0026044724647183983
4131,-0.0009319039476459511,0.005699751599039571,0.007155899887347726,-0.0020385929979093464,-0.00794809470368171,-0.0024425478453634635,0.013422972969432337
4132,0.00377008334104227,0.0028722951443804342,0.004545602269902247,-0.01015925749853966,0.027204329090016684,0.002054075422557131,-0.012126570568263287
4133,-0.0033312912027771407,0.021172557122712123,0.019748334199734593,0.0009645428003584699,0.0016114841565792889,0.00045906645448068236,0.009126524042544062
4134,-0.0032465624020105075,-0.01439513334620564,-0.01629849228436241,0.00392990347233931,0.005328833505067345,-0.0010247382790351451,-0.002383184040843691
4135,-0.0007186189210101128,-0.0033256611779120637,-0.009748990909068242,0.005107461791107771,-0.013446723727246613,-0.0010626246600710394,-0.0035191642290564244
4136,0.003800686220277259,-0.00875765448341294,0.003306333117746892,0.011963091303914418,-0.0043923962974049,0.00024817841185720117,0.008902394795619386
4137,-0.004188127955439543,0.010001553145265097,0.0008710087236263621,-0.0026259808410114874,-0.004995135369377487,-0.0018826028368222013,0.007488021392549728
4138,-0.0016088081213247005,0.008072803563190746,0.00038655497158445736,-0.0023016528230316844,0.012652919094549624,-0.00042738512411335855,0.010391778253077797
4139,0.0009992719063152888,0.007494273877550948,0.001831452088521357,0.00378232964335551,-0.004359328766633039,0.0006764990223121799,-0.0015126956495193657
4140,-0.0019451445744068645,0.014472322553246443,0.01688533061304854,-0.00023016728233872478,0.00760034740446569,-0.0004983707716294726,0.009591434292783828
4141,-0.0010037627316605215,-0.0008353604492895752,-0.002226204696461399,0.0052780127001475,-0.008697051224394252,-0.0011412853263298717,-0.004769239218953729
4142,0.005547328990263695,-0.018845086260474275,-0.01939816183069361,0.003586468644108959,0.0027365842399937916,0.0031668002255629732,-0.015561214061512342
4143,0.0019798187190976394,0.00043640380349627074,0.0008743209165132624,0.0008408087508319033,0.0,0.004830048893811774,0.0015504996186973554
4144,0.0016429823450230922,-0.006149923481007073,0.005496861539426381,-0.0031482617024310103,-0.011611365231360374,0.002935141631512685,-0.008439237128867436
4145,-0.005279572460097923,0.0012271680442673548,-0.009004756165989973,0.009121772801734821,0.0005600187518787949,-0.000592417840493737,-0.0009478966627371269
4146,0.0,-0.007964391043520144,0.0,0.004781180421331166,-0.001682227339863474,0.0019484483080387993,-0.007658587564851276
4147,0.0063714510538499134,-0.012458461867880813,-0.01706073427293721,0.010721520620223031,-0.0045180587647064355,0.002077967992535668,-0.004530683971309927
4148,-0.0027897342071417273,-0.003300674579086758,-0.007492445587710188,0.004567745623433759,-0.003419659258137093,-0.0009684812466267093,-0.0015479981038339157
4149,-0.00391383091991777,0.0,-0.0025959101909631124,0.006091783836863687,-0.0017199803942737656,-0.0021522110929239127,0.0064005008982461736
4150,0.0027598877952744036,-0.0211634150825726,-0.008306575475384432,-0.005519989936171952,-0.009877357106381912,0.002498345232474016,-0.01439059155595101
4151,-0.0005505762424807303,-0.01078637785731977,-0.011510149746712882,0.007141801930538831,-0.0005880765717848395,-0.00010381127858656206,-0.00535346663980618
4152,-0.0011032508966212463,0.004765816032885069,0.012040618216115339,0.008519107701405208,-0.005328833505066701,0.0008988744276721074,0.011298274804432054
4153,-0.004441245217492171,-0.006272912335022299,-0.012367770383676492,-0.01118016503817077,0.010593073497425895,-6.907817445834757e-05,0.0055407927479177495
4154,0.00039042722379367716,0.004007359292455326,-0.00438574271849417,0.0025415473488043087,-0.0017476662695220825,-0.004339335907893058,0.008021921493914619
4155,-0.00016956900660713918,-0.00456687300280231,-0.00845693661126214,-0.0016109617589060796,0.006948859955329722,0.0004881672731277776,-0.006002507077450383
4156,0.004890818618967644,-0.02087308524666873,-0.01894777418734802,0.0039079295631572275,-0.01758517480111436,0.0028829187318877795,-0.010192302990126164
4157,-0.0013436993528993999,0.002109652151177657,-0.015411873874212993,-0.00460665311369884,-0.003001355980663859,-0.0005195946564794513,8.249491560588791e-05
4158,-0.002643515336653052,0.018147134301366524,0.011639476805202064,0.006067463352803437,0.003599146139608703,-0.0034100695373122875,0.01260091101688188
4159,0.005772371142792148,-0.020080590162926383,-0.018256958681041265,0.0016815591832705814,0.008283797120289335,0.004806636617320475,-0.011529900654356082
4160,0.0,-0.006150242504195972,0.003443871202142606,-0.01088138595152701,-0.014905185671470705,0.002539639325776158,-0.0031380989003045937
